Co,Co,Co,Co,Co,Co,Co,Co,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Ni,Cu,Cu,Cu,Cu,Cu,Cu,Cu,Cu,Zn,Zn,Zn,Zn,Zn,Zn,Zn,Zn,As,As,As,As,As,As,As,As,Se,Se,Se,Se,Se,Se,Se,Se,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Sb,Sb,Sb,Sb,Sb,Sb,Sb,Sb,Te,Te,Te,Te,Te,Te,Te,Te,Au,Au,Au,Au,Au,Au,Au,Au,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Pb,Bi,Bi,Bi,Bi,Bi,Bi,Bi,Bi
600,12000,870.5125391709735,0.176,2086.08,125.89,0.062,789.5714739227284,500,2.6,383.918249439955,1.88,1649.68,289.42,1.358,1.8,100,1.71,220.3555104137966,,3064.45,153.89,0.109,,100,0.9,8.78118550661186,,253.37,453.17,0.496,,48,78,240.7920541845193,6.39,467.38,336.31,109,1.776559387670158,300,181.6,86.8966741644287,10.42,22.59,277.03,2.086,274.5464473781159,200,0.0059,3.935276150572307,,10.07,3.06,0.032,,100,0.012,1.394998751193971,,63.89,25.91,,,,0.34545,9.595153286650632,,,10.47,0.04,6.347608768342469,0.26,0.014,0.0642936821410175,0.033,,<0.01,0.065,,,0.064,308.5421215050148,0.506,395.9,37.74,,,30.91,0.01,13.29312986516675,,0.82,0.24,,
16800,175.2,b.d.l.,0.176,628.85,58.34,0.91,129.1736090499922,8600,2.75,b.d.l.,0.28,1183.85,443.66,1.25,,39.3,3.69,744.33345221986,0.187,764.45,383.69,0.11,,100,4.629,b.d.l.,,38.8,780.15,1.16,,50,88.45,241.69020301118,96.16,189.24,317.39,57.5,1.912600080428073,54.1,47.81,0.553109184382126,13.25,17.31,152.49,1.61,143.3846504556574,b.d,0,0.203308959306752,0.043,9.63,3.01,,,2.57,0.023,b.d.l.,,50.49,129.75,0.33,,3.2,0,0.909474914527975,,,<0.13,0.19,3.206967710935287,0.05,3.374,0.860498333270728,,,<0.01,,0.02924361970706519,,0.021,0.862839305168136,,265.65,<7.2,,,,0.065,b.d.l.,,0.65,0.66,0.16,0.09630207974568109
17600,249.1,61.8906403228058,0.184,1150.47,5.8,36.52,12.29726705591978,,3.094,61.0082659891575,0.45,1152.31,92.29,0.102,,11.8,12.92,33.8635748408133,2049.7,776.54,344.73,0.116,,100,2.946,b.d.l.,,18.33,734.02,0.256,,55,22.2,353.672436213188,,379.23,534.96,15.69,1.958388498402152,106,15.6,5.52584776068583,7.03,14.14,77.7,0.252,219.4637007595874,0.2,0.053,1.19996434486479,6.86,87.93,10.76,,0.2179535628047922,4.02,0.136,b.d.l.,,170.06,172.94,,1.044811017606368,1.34,0,5.60708580634016,,,4.98,1.28,1.289596416017621,0.06,340.9,16.9479068744735,,,<0.01,0.042,0.1171365877349928,200,0.363,3.57520494349374,9.18,1055.58,34.54,0.026,7.011613887783779,,0.333,b.d.l.,8.54,129.94,0.92,0.007,
1020,16000,56.8215418513077,0.207,836.06,23.21,12.61,279.8133939135881,,3.5,159.7245450159327,0.75,1098.98,447.93,3.884,,6810,3.78,190.4523380948426,188.82,769.55,231.75,0.129,,,1.8,1103.401436685645,,23.32,1060.67,0.388,,60,2000,356.6627880370373,,416.24,147.99,0.377,2.039215559050332,,94.36960720552129,2.771456247816059,28.28,14.31,237.62,0.075,150.5657406118257,8.3,0.008,125.1063715661695,,87.04,2.49,,,31.49,bdl,271.5667038073256,,170.92,51.44,,,280,0.1251110226918984,0.1734925607349401,0.168,,<0.13,5.63,3.624223510705038,0.18,0.06,0.03758336950321139,0.024,,<0.01,0.006,0.01697300705358797,558,0.1,493.7390498343212,0.457,1069.74,20.11,0.029,,8.49,0.01,0.04627761053809036,,163.81,1.02,0.023,0.02828488365379835
1330,713.1,b.d.l,0.231,1163.04,37.85,25.5,71.57537653667532,60,3.61,130.71,0.23,1323.75,450.83,0.384,,90,7.558,b.d.l,24.9,953.32,123.91,0.155,0.01374143938307501,3030,3.038,b.d.l,3.83,21.29,527.1,0.518,,60,82.63,716.14,8.6,478.52,135.14,12.52,2.098677484803554,110,28.72,42.25,168,10.82,52.62,0.169,62.838754993858,4.2,0.06,b.d.l,1.49,119.51,<0.01,0.064,,47.01,0.02,b.d.l,0.05,212.97,24.59,,0.1628752062201202,,0,4.09,0.25,,4.81,0.42,0.3922710853714287,0.16,7.001,0.029,0.05,,<0.01,0.046,,724,0.3,0.092,1.24,1383.42,55.18,2.111,,5.75,1.38,0.08,0.005,170.89,1.12,0.025,
1700,8100,188.22,0.32,1408.17,53.51,11.05,6.950108271943769,3000,4.4,374.74,0.1,1305.9,618.3,22.8,,34.3,5.24,14.02,20.2,933.47,360.56,0.159,0.04033277130036714,100,1.3,38.55,4.19,21.64,549.12,0.364,,64,77,718.05,8.12,449.47,74.25,7.103,2.211475891440917,18.6,94.26,b.d.l,148,19.53,81.5,0.081,37.42075082417144,,0.018,0.86,1.58,105.88,4.73,0.016,0.4226926279008695,1.41,bdl,9.15,0.05,189.86,5.36,,,3.18,0.30555,1.13,0.25,,<0.13,1.99,0.1648319229678149,0.04,0.11,0.168,0.05,,0.13,,,200,0.08,106.87,1.27,1231.66,130.44,0.019,,,0.0058,5.15,0.005,162.22,1.25,0.018,0.03786176547126925
600,421.5,650,0.323,1472.77,5.39,33.37,,3000,4.584,1420,0.292,1327.94,157.9,0.187,,,3.298,2200,6318,907.59,406.38,0.233,,100,3.069,2.9,1.68,21.96,189.93,0.263,,64,38.94,720,0.76,413.39,1954.27,16.16,2.672791951174525,200,48.22,48,5.12,17.94,108.9,0.419,248.4484126153765,200,0,0.5,5.43,100.64,12.67,,0.492930895096847,100,0.027,15.2,0.398,168.65,22.66,,0.721515395321145,280,0,bdl,2.05,,<0.13,0.58,2.820400596181515,,2.31,0.2,0.061,,<0.01,,0.246441094992191,100,0.038,6.9,,1257.17,19.56,0.344,15.10781193963827,11.56,0,1,3.99,147.6,1.28,0.012,0.1182787534354436
490,17000,53.3721504211832,0.33,1170.06,6.65,11.17,,3000,4.9,196.419016330988,0.35,1212.42,114.72,38.01,,20,1.98,11.6827934546412,22.5,887.77,293.95,0.239,,,2.3,b.d.l.,3.32,22.63,712.05,0.38,,70,680,747.574440720918,8.1,366.45,207.74,10.88,2.765922713728942,90,91.06955056277631,b.d.l.,126,14.2,34,0.539,223.8867351366754,9.4,0.009,b.d.l.,1.66,101.43,5.48,,0.2696723681357587,39.51,bdl,b.d.l.,0.05,161.81,44.26,,0.2611600594290161,330,0.1732,b.d.l.,0.25,,<0.13,0.09,1.985774745595158,0.07,0.03,0.0769427749801678,0.05,,<0.01,0.024,0.1423726587589545,614,0.2,8.67041238180733,1.97,1050.77,31.01,0.265,9.550779695932201,19.01,0.05,b.d.l.,0.31,143.59,1.4,0.014,0.04690916053406984
730,159.3,1152.59706375,1.37,1430.72,8.21,0.41,,330,5.894,1061.05151545,0.42,1189.41,210.5,0.6,,160,6.36,181.4982012726666,6.8,787.67,848.04,0.24,,5090,2.42,13.07912124683333,6.9,20.18,1099.03,0.97,,70,93.72,387.3509001,7.3,335.98,538.8,1735.98,2.80278236127615,,18.23,29.55915426666667,81,14.88,162.15,12.99,211.5629423058011,10.2,2.405,1.984262008666667,4.45,85.3,13.62,,0.2351026535980172,31.51,1.284,1.128440075,0.025,163.26,186.36,,0.2916755752709521,610,0,3.477353315333334,0.5,,4.73,23.28,1.767303263994363,0.06,1.473,0.1120606375,0.1,,<0.01,0.34,0.1165784414966374,757,94.97,25.1531390494315,2.48,1061.72,41.8,,11.7052006940732,19.91,2.921,30.60286366533333,0.18,146.2,1.45,0.19,0.04729767399838838
790,15000,86.5994516126288,1.5,1167.58,48.13,24.37,294.4,1920,7.2,236.070540981008,0.48,1137.33,482.23,0.316,96.52,,280.54,51.6320271517784,1.27,796.36,883.65,0.244,31.67,470,5.3,b.d.l.,,27.32,506.49,0.76,2.991,70,26,391.747196670767,0.34,354.38,99.35,1.309,3.031,230,48.62,b.d.l.,108.44,18.07,219.94,0.18,494.1,9.6,0.2,0.780770602370257,,83.58,8.11,,0.686,34.49,0.12,b.d.l.,,138.05,21.6,0.007,0.068,420,0.0931,6.3669638278819,,,<0.13,,0.411,0.16,0.018,2.07097602236029,,,<0.01,,0.01,668,58,2.828416318161,,940.36,156.11,5.548,44.02,,4.2,b.d.l.,0.0089,127.91,1.69,0.108,1.523
1700,2078,204.6404686384,1.54,240.86,39.72,1.227,5.506475593911076,20,7.662,322.964214270433,69.2,2727.73,559.68,10.04,,340,23.87,137.944618225174,13.7,2169.68,437.52,0.245,,7860,5.787,b.d.l.,4.12,1174.36,391.63,0.485,10.29216392861344,70,571.9,414.176314221965,7.28,98.71,466.03,0.168,3.101407921436643,90,9.319,b.d.l.,15.3,12.29,255.12,0.029,181.553483219175,4.3,1.089,12.9318904261789,3.96,63.24,7.12,0.392,,36.65,0.07,10.7197740375088,0.025,9.56,96.1,0.023,0.9471593744403537,,0,6.47694681322133,0.5,,<0.13,,0.8875647789134133,0.15,16.53,18.7817825976246,0.1,,<0.01,0.023,0.06811205569370862,551,0.569,102.724066480256,2.06,173.44,30.82,4.832,3.924515283837261,19.32,0.649,1.54536649466739,0.01,3.09,1.79,0.404,
