Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
IOA,480.0,678.5714285714286,160.0,5780.0,140.0,180.0,7.8,38.62,710.0,0.06,421.0,22.01
IOA,480.0,302.85714285714283,640.0,2838.5714285714284,140.0,160.0,2.6,18.86,220.0,0.09,688.0,19.63
IOA,560.0,185.71428571428572,215.71428571428572,4957.142857142857,191.42857142857142,100.0,3.5,12.84,532.8571428571429,0.19,478.0,10.83
IOA,630.0,20.0,340.0,3051.4285714285716,117.14285714285714,117.14285714285714,1.4,28.19,40.0,0.07,640.0,26.33
IOA,640.0,270.0,601.4285714285714,1170.0,252.85714285714286,50.0,1.7,46.9,400.0,0.18,596.0,5.43
IOA,640.0,535.7142857142857,590.0,2714.285714285714,157.14285714285714,60.0,9.9,9.67,420.0,0.13,683.0,38.77
IOA,680.0,678.5714285714286,380.0,4130.0,141.42857142857142,40.0,7.4,4.76,700.0,0.09,424.0,19.38
IOA,710.0,3080.0,3770.0,3270.0,541.4285714285714,120.0,1.4,32.55,204.69714285714286,0.14,752.0,30.59
IOA,720.0,407.14285714285717,692.8571428571429,4130.0,548.5714285714286,124.28571428571429,0.7,10.76,357.14285714285717,0.07,435.0,16.478571428571428
IOA,720.0,915.7142857142857,514.2857142857143,680.0,157.14285714285714,30.0,7.4,48.53,220.0,0.09,742.0,36.59
IOA,740.0,490.0,1588.5714285714287,9480.0,495.7142857142857,20.0,1.9,1.33,510.0,0.08,575.0,9.72
IOA,790.0,728.5714285714286,390.0,1640.0,245.71428571428572,147.14285714285714,11.1,47.81,275.7142857142857,0.09,589.0,30.91
IOA,790.0,748.5714285714286,1360.0,1590.0,178.57142857142858,40.0,7.7,19.48,240.0,0.18,716.0,26.33
IOA,800.0,160.0,430.0,2150.0,162.85714285714286,150.0,4.4,47.6,40.0,0.14,618.0,10.83
IOA,17100.0,3414.285714285714,2.29,100.0,154.28571428571428,51.285714285714285,2.957142857142857,4.192857142857143,1.3971428571428572,0.26,100.0,9.42
IOA,5600.0,1.8,0.82,1.7,120.0,122.2,0.015,0.059,0.18325,0.024,1.1,12.0
IOA,13000.0,1.9,4.78,2.5,370.0,93.08923723865705,0.017,0.013,0.12565,0.08,0.18,0.06
IOA,83.67,2.235,2.198,3.038,35.98,18.44,0.079,0.0,0.0,2.408,0.122,0.028
IOA,14000.0,2.4,0.48,1.4,14.0,68.47,0.03328571428571429,0.059,0.1985159222605095,0.013,0.019,0.01
IOA,13000.0,2.5,39.74,2.8,3.2,125.0,0.12,0.11,1.322319225578545,0.31,0.63,0.52
IOA,18339.0,20.0,0.215,0.7109,316.1241,5.0,0.0173,0.0242,0.08815,99.02700000000002,0.02395,0.0052
IOA,16000.0,20.0,6.22,1.2,73.0,50.94,0.026,0.016,0.2462,0.13,0.66,0.059
IOA,8410.0,20.91,26.31,2.539,52.97,47.85,0.526,0.021,0.0,0.162,0.11,0.828
IOA,16000.0,22.0,11.99,2.0,44.0,134.3,0.041,0.013,0.31525,0.27,0.53,0.12
IOA,18389.0,23.0,0.13695,0.5568,288.3824,7.0,0.0208,0.02725,0.19825,89.6782857142857,0.0205,0.01
IOA,333.5,23.69,12.88,2.315,45.98,17.42,0.023,0.023,0.0,4.281,0.097,0.006
IOA,12700.0,26.91,311.1,28.08,2398.0,12.76,5.876,0.409,0.0,22.18,5.842,4.397
IOA,19280.0,28.18,4.038,2.565,60.41,94.26,0.0,0.0,0.0,13.45,0.0,0.008
IOA,5200.0,30.0,18.76,2.3,360.0,16.70643185102025,0.17,0.46,0.16935,0.07,8.5,19.0
IOA,497.0,30.07,3.612,2.946,36.91,45.38,0.0,0.023,0.0,1.092,0.011,0.013
IOA,17000.0,32.0,2.81,1.3,38.0,93.27,0.0078,0.03414285714285714,0.0938,0.047,0.14,0.2
IOA,18550.0,35.0,2.945,3.536,79.81,81.03,0.0,0.129,0.0,221.9,0.03,0.46
IOA,9142.439647101073,35.59,14.84,3.381,577.0,110.1,0.088,0.0,0.0,15.1,0.052,0.0
IOA,9609.0,37.14,7.145,15.57,3077.0,16.21,0.839,0.163,0.0,9.46,1.384,3.46
IOA,11000.0,2.5,4.1,1.4,640.0,80.71963090982734,0.019,0.06,0.16935,0.03,0.15,0.98
IOA,12000.0,2.6,1.71,0.9,78.0,181.6,0.0059,0.012,0.34545,0.014,0.064,0.01
IOA,175.2,2.75,3.69,4.629,88.45,47.81,0.0,0.023,0.0,3.374,0.021,0.065
IOA,249.1,3.094,12.92,2.946,22.2,15.6,0.053,0.136,0.0,340.9,0.363,0.333
IOA,16000.0,3.5,3.78,1.8,2000.0,94.36960720552129,0.008,0.016714285714285716,0.1251110226918984,0.06,0.1,0.01
IOA,713.1,3.61,7.558,3.038,82.63,28.72,0.06,0.02,0.0,7.001,0.3,1.38
IOA,8100.0,4.4,5.24,1.3,77.0,94.26,0.018,0.018285714285714287,0.30555,0.11,0.08,0.0058
IOA,421.5,4.584,3.298,3.069,38.94,48.22,0.0,0.027,0.0,2.31,0.038,0.0
IOA,17000.0,4.9,1.98,2.3,680.0,91.06955056277631,0.009,0.039714285714285716,0.1732,0.03,0.2,0.05
IOA,159.3,5.894,6.36,2.42,93.72,18.23,2.405,1.284,0.0,1.473,94.97,2.921
IOA,15000.0,7.2,280.54,5.3,26.0,48.62,0.2,0.12,0.0931,0.018,58.0,4.2
IOA,2078.0,7.662,23.87,5.787,571.9,9.319,1.089,0.07,0.0,16.53,0.569,0.649
IOA,1.285,10.09,5.766,3.704,0.165,10.18,0.123,4.071,0.0,31.56,4.698,0.384
IOA,572.2,10.54,7.42,2.946,71.64,34.51,2.355,0.109,0.0,0.611,10.87,5.781
IOA,579.4,10.74,8.245,4.879,47.31,39.71,0.0,0.02,0.0,14.64,0.113,0.25
IOA,472.9,12.46,2.473,3.038,51.86,32.26,0.06,0.02,0.0,2.346,0.15,0.017
IOA,11000.0,15.0,17.36,2.1,1200.0,162.1,0.028,0.022,0.2547,0.49,0.22,0.069
IOA,13340.0,17.05,10.22,5.303,4359.0,19.85,7.369,0.392,0.0,16.67,5.124,15.42
IOA,5790.0,17.39,25.13,3.998,1171.0,8.508,6.375,0.21,0.0,41.17,2.586,3.123
IOA,13000.0,18.0,752.89,2.7,46.0,82.19,0.067,0.079,0.4560601281342226,0.093,0.43,1.4
IOA,19618.0,19.0,6.397,0.794,326.2799,9.0,0.2477,0.2496,0.1694,99.027,1.5017,0.0631
IOA,11125.285714285714,38.19,3.887,2.856,56.57,108.8,0.0,0.032,0.0,5.74,0.0,0.23
IOA,10340.0,38.91,9.552,6.563,141.0,23.31,3.965,0.253,0.0,0.018,589.8,22.81
IOA,6626.9,39.09,5.088,2.448,136.5,122.2,0.041,0.0,0.0,51.61,0.0,0.011
IOA,10950.0,39.15,3.995,12.01,109.5,25.77,0.389,0.304,0.0,0.132,0.679,0.739
IOA,8636.898276026088,40.0,3.433,3.497,517.7,103.2,0.0,0.0,0.0,14.87,0.0,0.039
IOA,10971.320744612689,41.17,539.7,4.08,178.6,122.1,0.059,0.0,0.0,13.77,0.026,0.229
IOA,1356.0,42.92,4.617,8.985,508.5,31.77,0.318,0.131,0.0,3.555,1.728,4.981
IOA,6500.0,43.0,96.06,3.9,1200.0,17.37469190325265,0.19,1.3,0.1907,0.33,15.0,12.0
IOA,12396.743025038182,43.41,4572.0,114.4,521.2,38.43,32.88,1.357,0.0,1.195,1940.0,40.41
IOA,4342.6151692514495,45.91,26.86,4.488,218.6,173.7,0.069,0.0,0.0,69.56,0.09,0.92
