Deposit type,Co,Ni,Cu,Zn,As,Se,Ag,Sb,Te,Au,Pb,Bi
IOCG,9609,37.14,7.145,15.57,3077,16.21,0.839,0.163,0,9.46,1.384,3.46
IOCG,11000,2.5,4.1,1.4,640,80.71963091,0.019,0.06,0.16935,0.03,0.15,0.98
IOCG,12000,2.6,1.71,0.9,78,181.6,0.0059,0.012,0.34545,0.014,0.064,0.01
IOCG,175.2,2.75,3.69,4.629,88.45,47.81,0,0.023,0,3.374,0.021,0.065
IOCG,249.1,3.094,12.92,2.946,22.2,15.6,0.053,0.136,0,340.9,0.363,0.333
IOCG,16000,3.5,3.78,1.8,2000,94.36960721,0.008,bdl,0.125111023,0.06,0.1,0.01
IOCG,713.1,3.61,7.558,3.038,82.63,28.72,0.06,0.02,0,7.001,0.3,1.38
IOCG,8100,4.4,5.24,1.3,77,94.26,0.018,bdl,0.30555,0.11,0.08,0.0058
IOCG,421.5,4.584,3.298,3.069,38.94,48.22,0,0.027,0,2.31,0.038,0
IOCG,17000,4.9,1.98,2.3,680,91.06955056,0.009,bdl,0.1732,0.03,0.2,0.05
IOCG,159.3,5.894,6.36,2.42,93.72,18.23,2.405,1.284,0,1.473,94.97,2.921
IOCG,15000,7.2,280.54,5.3,26,48.62,0.2,0.12,0.0931,0.018,58,4.2
IOCG,2078,7.662,23.87,5.787,571.9,9.319,1.089,0.07,0,16.53,0.569,0.649
IOCG,1.285,10.09,5.766,3.704,0.165,10.18,0.123,4.071,0,31.56,4.698,0.384
IOCG,572.2,10.54,7.42,2.946,71.64,34.51,2.355,0.109,0,0.611,10.87,5.781
IOCG,579.4,10.74,8.245,4.879,47.31,39.71,0,0.02,0,14.64,0.113,0.25
IOCG,472.9,12.46,2.473,3.038,51.86,32.26,0.06,0.02,0,2.346,0.15,0.017
IOCG,11000,15,17.36,2.1,1200,162.1,0.028,bdl,0.2547,0.49,0.22,0.069
IOCG,13340,17.05,10.22,5.303,4359,19.85,7.369,0.392,0,16.67,5.124,15.42
IOCG,5790,17.39,25.13,3.998,1171,8.508,6.375,0.21,0,41.17,2.586,3.123
IOCG,13000,18,752.89,2.7,46,82.19,0.067,0.079,0.456060128,0.093,0.43,1.4
IOCG,19618,19,6.397,0.794,326.2799,9,0.2477,0.2496,0.1694,,1.5017,0.0631
IOCG,,38.19,3.887,2.856,56.57,108.8,0,0.032,0,5.74,0,0.23
IOCG,10340,38.91,9.552,6.563,141,23.31,3.965,0.253,0,0.018,589.8,22.81
IOCG,,39.09,5.088,2.448,136.5,122.2,0.041,0,0,51.61,0,0.011
IOCG,10950,39.15,3.995,12.01,109.5,25.77,0.389,0.304,0,0.132,0.679,0.739
IOCG,,40,3.433,3.497,517.7,103.2,0,0,0,14.87,0,0.039
IOCG,,41.17,539.7,4.08,178.6,122.1,0.059,0,0,13.77,0.026,0.229
IOCG,1356,42.92,4.617,8.985,508.5,31.77,0.318,0.131,0,3.555,1.728,4.981
IOCG,6500,43,96.06,3.9,1200,17.3746919,0.19,1.3,0.1907,0.33,15,12
IOCG,,43.41,4572,114.4,521.2,38.43,32.88,1.357,0,1.195,1940,40.41
IOCG,,45.91,26.86,4.488,218.6,173.7,0.069,0,0,69.56,0.09,0.92
IOCG,8799,49.05,76.52,11.57,3690,13.37,5.286,0.14,0,0.399,2.586,4.11
IOCG,7427.281745,50.15110954,,0.3806,280.7650514,91.06955056,0.028184129,0.0326,0.220341391,0.01,0.0292,0.0053
IOCG,12230,50.47,4.298,9.478,286.1,27.98,0.113,0.152,0,0.012,1.252,0.44
IOCG,11140,50.76,3.123,17.8,72.44,22.09,0.024,0.127,0,0.093,0.689,0.143
IOCG,,50.92,5.3,2.584,23.61,134.3,0,0.032,0,7.963,0.015,0.193
IOCG,,51.83,40.41,4.197,385.6,93.27,0.029,0.083,0,16.36,0.09,0.97
IOCG,,53.78,5.452,2.098,145.1,112.1,0,0,0,25.86,0.026,0.166
IOCG,,71.54,4.122,3.536,96.4,94.93,0.034,0,0,22.73,0.045,0.101
